device_id,phone_brand,device_model
-4.64527E+18,??,??2
-7.77902E+18,??,??note???
4.82119E+18,vivo,X5Pro
-6.80441E+18,vivo,X5V
-1.47156E+18,??,??note
2.22879E+18,OPPO,A11
-4.50604E+18,??,MI pad
-6.54262E+18,OPPO,R1
6.81702E+18,???,Z7 Mini
1.60429E+18,??,??2A
-6.91412E+18,??,Galaxy Note 5
-5.01686E+18,??,??4C
2.24533E+18,??,MediaPad M2-801W
5.59671E+17,??,Galaxy J5
8.35082E+17,??,??Note 2
5.2397E+18,??,MI 3
-4.25473E+18,??,???
2.01697E+18,??,Galaxy Grand Neo Plus
6.13273E+16,??,Ascend GX1
1.97935E+17,??,??note
4.6368E+17,??,MI 3
1.08412E+18,??,MI 2S
9.07382E+18,OPPO,R817
-8.1263E+18,vivo,X3T
-6.18358E+18,??,Galaxy E7
-6.35593E+18,??,??3X???
2.17446E+17,??,X817
2.87742E+18,??,GN700W
4.17704E+18,??,??6
9.18803E+18,??,????4X
7.81019E+18,??,MI 4
-8.92743E+18,??,??Note 2
1.04118E+18,vivo,Y20T
1.25637E+18,??,??+
5.05516E+18,??,A680
5.01742E+18,??,??2A
-4.07176E+18,OPPO,R7
-6.80492E+18,??,??4A
6.25164E+17,??,??Note2
7.47656E+18,OPPO,R7 Plus
7.73423E+18,??,????4X
-6.24725E+18,vivo,Y27
6.20327E+18,??,??1S
-3.13597E+18,??,5891
8.75094E+18,??,??F1
-3.37549E+18,??,Galaxy J5
-3.66516E+18,??,P8 Lite
4.63983E+18,??,Galaxy Grand Prime
-5.02909E+18,??,UIMI3
-8.20308E+17,??,Ascend P8
-3.84473E+18,OPPO,N1 Mini
5.46368E+18,??,Compaq 7
-7.05905E+18,??,G628
5.59765E+18,??,??note
-3.49633E+18,???,IVO 6622
1.04152E+18,??,??2
4.22709E+18,??,B199
-6.48576E+18,??,Galaxy Trend 3
-6.91377E+18,??,??7
4.49185E+18,??,????4X
-8.35849E+18,vivo,X1ST
-6.35732E+18,??,S7568I
4.03508E+18,??,C8818
7.36793E+18,vivo,Y622
2.22165E+18,??,Mate 7
3.53658E+18,??,??2
-1.35378E+18,??,Mate 7 ???
6.37387E+18,??,Mate 7
-3.73449E+18,OPPO,1107
-1.3626E+18,??,MI 4
2.10722E+18,??,??7
6.95782E+18,??,Galaxy S2
5.89557E+18,??,??2
7.25206E+18,??,???
-7.68733E+18,??,Galaxy Note 3
5.69086E+18,??,P8 Lite
-8.80113E+18,??,??6
-7.87016E+18,??,??K3 Note
-2.20991E+18,??,MX3
-2.32633E+18,??,MI 2
-1.85029E+18,??,MI 3
-2.18221E+18,??,Galaxy S3
-1.43898E+18,OPPO,R7
3.86592E+18,??,Galaxy Win
-1.21806E+18,??,Galaxy S4 Zoom
5.84363E+18,??,Galaxy S5
5.55247E+18,??,Galaxy Ace Dear
-5.25313E+18,??,MI 2
5.33077E+18,??,??note
-6.62312E+17,vivo,Y27
-8.22207E+18,??,Galaxy S4
-3.26265E+18,??,??1S
4.53009E+18,???,????
-9.03253E+17,??,Galaxy Note 3
-6.14611E+18,??,??F1
-5.47299E+17,??,MX3
-7.97282E+18,??,MI 4
8.04733E+18,??,????4X
-2.03232E+18,??,GN706L
-6.41681E+18,??,??K3
-8.04606E+18,??,Ascend P1
-2.08813E+18,OPPO,R831T
6.22981E+18,??,M9
3.87421E+18,??,Galaxy S6 Edge
-6.22282E+18,??,MX3
-9.17214E+18,??,U9508
6.82755E+18,??,??K3 Note
-2.48467E+18,??,??Note2
5.45317E+18,vivo,X5M
-8.49089E+18,vivo,X5Max
-2.3287E+18,??,????4C
-2.66744E+18,??,2
3.4853E+18,??,??Note 2
3.00286E+18,??,??Note2
-1.46029E+18,????,A1
1.01437E+18,??,X8888
-6.8126E+18,??,MI 3
1.1799E+18,??,??2
-6.92833E+18,??,Galaxy S4
6.47575E+18,??,Galaxy Trend DUOS 2
1.59796E+18,??,MX3
-8.78912E+18,??,??????S8
-4.20332E+18,??,S60t
-1.6436E+18,??,??F2
7.53291E+18,??,MX3
-8.35162E+18,??,??NOTE
3.71005E+18,??,??note
-5.8639E+18,HTC,One
7.2875E+18,vivo,Xplay3S
5.07376E+18,OPPO,R1S
7.813E+18,??,MI 4
-3.08593E+18,vivo,X5M
9.10112E+18,??,??note
-5.72522E+17,??,????4X
-6.63664E+18,??,??2
-6.10157E+18,vivo,X5Pro
-3.86725E+18,??,Y60-C1
-4.44546E+18,??,Galaxy S4
-2.10126E+18,LG,Nexus 5
-5.68901E+18,??,??note
4.5247E+17,??,Galaxy Win
3.37445E+18,??,Galaxy Mega 5.8
7.47132E+18,??,UIMI4
2.01908E+17,??,??Note2
9.11396E+18,OPPO,R809T
4.92375E+18,vivo,X3L
-6.49836E+16,?? ,Q507T
2.65649E+18,??,??6 Plus
6.1135E+18,????,Moto X Style
-1.57194E+18,??,??1S
1.58194E+18,??,A788t
6.72466E+17,??,??F2
7.054E+18,OPPO,R7
1.37895E+18,??,MI 4
-7.24167E+17,??,??
-1.73194E+18,vivo,X5V
2.42807E+18,vivo,Y13iL
-2.56289E+18,??,Galaxy S6 Edge
-1.23092E+17,vivo,X5Pro
-9.17724E+18,??,??6 plus
5.40164E+17,??,G610S
3.11921E+18,??,Galaxy Note 2
1.67623E+18,OPPO,N1T
3.02358E+18,vivo,Y27
-8.23679E+18,??,X1 7.0
-8.881E+18,??,??2A
7.48495E+18,vivo,Y613F
5.5098E+18,??,Galaxy A7
-5.94044E+18,????,N1
1.97349E+18,??,MI 2S
2.56248E+18,OPPO,R7
-5.37977E+18,??,??Note2
8.78994E+18,??,Galaxy S4
-3.19461E+18,??,??2A
6.68466E+18,??,??note
-2.34409E+18,??,??4A
-3.5231E+18,??,Galaxy S4
4.53362E+18,vivo,Y23L
2.32528E+18,??,??F2????
5.7558E+18,??,MI 2S
5.68339E+18,??,????4C
-3.86076E+18,??,MX5
2.19836E+18,??,Ascend P8
6.49815E+18,??,??2
9.15444E+17,ZUK,Z1
1.2387E+18,??,Ascend P8
-8.58386E+17,vivo,Y13iL
-2.65001E+18,HTC,??XL
-2.17428E+18,??,??note
1.15174E+18,OPPO,Find 5
-3.75017E+18,??,???
-4.4308E+18,??,??Note2
1.44687E+18,OPPO,Find 5
-4.58255E+18,vivo,Y927
4.5495E+18,??,??2
9.11905E+17,??,Galaxy Grand Neo Plus
3.59855E+18,??,??Note3
-8.08559E+18,???,Z9 mini
1.80346E+18,vivo,X3S
-7.34486E+17,vivo,Y15
6.76469E+18,OPPO,R7
6.27273E+18,OPPO,R831S
-4.52373E+18,??,Ascend P7
-8.72344E+18,??,??6
1.02588E+18,??,MI 3
-6.16718E+17,??,MI 4
-7.03858E+18,OPPO,N1 Mini
3.30036E+18,OPPO,R7s
7.71415E+18,??,????4X
4.76094E+17,??,??F1Plus
-6.01416E+18,??,MI 2S
-7.07732E+18,??,????4
8.97936E+18,??,??Note2
3.51137E+18,OPPO,R815T
6.7452E+18,??,MX5
-8.39423E+18,OPPO,R819T
-3.68603E+18,??,Galaxy Note 3
-2.7367E+17,??,Galaxy Core Prime
-5.00681E+18,HTC,Butterfly
7.37122E+18,??,??F1Plus
-2.34596E+17,????,A1
4.5536E+18,??,??4C
2.37912E+18,??,??NOTE
8.46588E+18,??,Galaxy Style DUOS
-7.85794E+18,OPPO,A31
3.55672E+18,vivo,Xperia S
-2.13723E+18,??,Galaxy Note 3 Lite
-6.88649E+18,OPPO,R1S
-8.31778E+18,??,P6
7.58946E+17,??,S7
8.69268E+18,??,MI 2
7.57348E+18,??,Galaxy S6
-6.62791E+18,??,??note???
-1.46208E+18,??,G628
5.67363E+18,??,MI 2S
2.37552E+18,??,Galaxy Grand Neo Plus
-4.96458E+18,??,????
-6.93521E+18,??,MI 3
-2.91982E+18,???,M210
-2.53319E+18,??,??Note 2
-2.28025E+18,??,??note
4.96155E+17,??,Ascend P8
-2.97775E+18,??,MX2
-3.71371E+18,??,??1S
-8.33705E+18,OPPO,R7
-4.27613E+18,vivo,S7I
-7.46369E+18,OPPO,A51
4.65929E+18,??,??Note 2
7.51779E+18,??,????4C
6.03045E+18,??,MX3
2.54847E+18,???,Z7 Mini
-1.96924E+18,OPPO,X907
1.74321E+18,??,??
-1.61756E+18,??,MI 4
-2.10351E+17,??,??
-8.59949E+18,??,Galaxy J5
1.47939E+18,vivo,Y33
9.54704E+17,vivo,Y27
6.20331E+17,??,Galaxy Win
-4.94134E+18,??,????4X
4.43376E+17,??,????1 Pro
-1.85687E+18,??,??note???
-5.7888E+18,??,MI 2S
7.84514E+18,??,Galaxy S4
-7.79319E+18,??,Galaxy Grand DUOS
4.89008E+17,??,????4X
-3.4529E+18,??,??note???
4.46989E+18,vivo,Xperia Z5
-2.87599E+18,??,G620-L75
9.85033E+16,??,??5
-2.49287E+18,vivo,Xplay
-8.97888E+18,??,Galaxy Win
-6.72318E+18,??,????4X
-6.27628E+18,??,MX4 Pro
-9.18395E+18,??,??6
1.92555E+18,??,Galaxy S5
8.7549E+18,vivo,X5Pro
1.81184E+18,??,??K3
-6.89338E+18,??,??7
5.93203E+18,??,Mate 7
-4.36084E+18,OPPO,R7
-4.48749E+18,??,Ascend P8
-3.98934E+18,??,????4X
4.59516E+18,??,MI 2
4.74979E+18,??,Galaxy S6 Edge+
7.71594E+18,??,MI 4
-2.23473E+17,vivo,X5Max+
3.86655E+18,??,MI 3
7.94362E+18,??,????4C
-3.74041E+18,??,??Note2
1.3737E+18,OPPO,R7s
6.68181E+18,??,8185
-2.26309E+18,??,??3C
-6.09435E+18,??,??7i
-1.18761E+18,??,G3588V
-7.73606E+18,vivo,Y937
5.18263E+18,??,Galaxy S4
5.2031E+18,??,??6 Plus
-6.61339E+18,??,??4C
-2.95633E+18,HTC,T528t
5.06785E+18,??,Galaxy A8
-8.39103E+18,??,Galaxy S6
2.30925E+18,OPPO,N3
-6.72509E+18,vivo,X5Max+
-3.18505E+18,??,MI 2S
-6.14947E+18,??,MI 4
8.88283E+18,??,8720L
5.93861E+17,??,Galaxy Note 3
6.87078E+17,??,??7
3.70644E+18,??,??2A
2.28436E+18,??,??7
1.30377E+18,??,G610T
3.19812E+18,??,MX3
4.45342E+18,vivo,S7T
-7.05758E+18,??,??5
-8.42953E+18,??,????4X
-8.8942E+18,vivo,X3T
-8.65989E+18,??,MI 3
-2.11731E+18,???,????
-7.27301E+18,??,MI 2S
3.14094E+18,????,A1
-8.30173E+18,?? ,V5 Max
-7.99195E+18,??,MI 3
4.61971E+18,??,MX5
4.9153E+18,OPPO,A51
9.13069E+18,??,??Note 2
7.94807E+18,??,??2
-5.93228E+18,??,MI One Plus
5.29867E+18,vivo,Xperia Z1
-1.0416E+18,??,??
-9.17939E+18,OPPO,R7
6.03117E+18,??,Galaxy Grand DUOS
7.60252E+18,??,S90-t
-4.79474E+18,??,??6
4.45183E+18,??,Galaxy S4
-1.10929E+18,vivo,Xperia Z3 mini
-3.88429E+18,??,8105
7.77483E+18,vivo,Y27
7.93455E+18,??,??4C
-4.1759E+18,??,??2
3.30516E+18,vivo,X5M
9.04031E+18,??,MI 2
-1.63628E+18,????,A1
8.36446E+18,??,??2
9.21232E+17,??,??Note 2
1.57464E+18,vivo,X5L
4.8589E+18,??,7270-W00
-7.2783E+18,OPPO,R7 Plus
-7.10148E+18,??,MI 4
7.34047E+18,??,??
-7.00327E+18,??,S7
-4.75027E+18,HTC,M8St
2.21462E+18,??,P8 Lite
7.97536E+18,OPPO,Find 7
-3.14023E+18,OPPO,R7 Plus
-7.49946E+17,??,??2
3.00505E+18,??,F2
6.21556E+18,??,??2A
-8.83382E+18,OPPO,R7 Plus
-7.53686E+18,??,????4X
-7.52426E+18,??,????4C
3.13242E+18,??,????5X
-3.54235E+18,??,Galaxy A8
3.27649E+18,??,???
1.36116E+18,??,MI 2
6.35865E+17,HTC,Desire 820
-7.29633E+18,??,A750
6.88275E+18,??,??note
-3.80208E+18,??,Ascend P8
-1.65227E+18,??,F301
-7.33405E+18,??,MI 4
-6.06515E+18,??,Galaxy Trend DUOS 2
8.88463E+18,??,??6
2.5528E+18,??,??note
8.46893E+18,??,S898t
-7.59656E+18,??,Galaxy Note 3
6.48895E+18,OPPO,R7
4.08995E+18,??,MI 4
7.4523E+18,??,??6
-3.86697E+18,??,??metal
-4.23858E+17,??,MI 2S
7.1624E+17,LG,P970
3.58454E+18,??,MI 4
4.49135E+18,??,Galaxy Note 2
7.49736E+18,??,??4C
-7.91004E+18,??,MX4
1.11377E+18,??,Galaxy Win
4.3336E+18,OPPO,R7
-2.97247E+18,??,MI 4
7.52825E+18,??,??2A
-2.82688E+18,??,Galaxy Mega 6.3
2.55461E+18,??,MI 3
-1.02978E+18,??,????4C
8.22644E+18,vivo,X3T
6.61092E+18,OPPO,R7 Plus
2.49558E+17,??,MI 3
-1.64473E+18,??,Galaxy A7
7.23328E+18,OPPO,R1S
5.63294E+18,??,Galaxy S4
-4.44069E+17,??,5890
-8.1597E+18,??,Galaxy Grand Prime
-3.95858E+18,??,???
-4.51455E+17,??,Galaxy Note 2
-1.74011E+18,OPPO,R823T
-2.70978E+18,??,??6
-4.91119E+18,???,Z9 Max
-4.57327E+18,??,PRO5
-7.78727E+18,??,??note
-2.8547E+18,??,note???
5.76738E+18,??,MX4
-4.59654E+18,??,????4X
-4.56941E+18,??,MX3
9.16983E+18,??,????4X
6.69095E+18,??,??Note2
1.73159E+18,vivo,X5SL
8.70266E+18,??,????4
-7.80125E+18,OPPO,R7
4.82353E+18,??,MI 3
-2.05956E+18,??,Galaxy Note 4
-6.72418E+18,vivo,Y29L
-8.91888E+18,??,??note
5.76414E+18,??,??Note2
-6.2265E+18,??,PRO5
-1.00817E+18,??,??note
1.40181E+18,??,MI 3
-9.19339E+18,??,??Note2
-6.48268E+18,??,G610S
4.37186E+18,??,E602T
-4.45511E+18,??,MI 3
-7.58515E+18,??,????4X
8.28559E+18,??,Galaxy S5
-9.19346E+18,??,Galaxy Note 2
-1.17199E+18,??,GN150
-6.16525E+18,??,Galaxy Note 2
-7.38142E+18,??,G628
7.11659E+18,??,8190Q
-7.57456E+18,??,Galaxy Grand 2
6.54908E+18,??,??7i
4.46508E+17,??,MX4
7.0597E+18,??,??note
8.02706E+18,??,MX4
7.08256E+18,??,E620M
-8.00719E+18,??,????1
1.04024E+17,??,8702D
-3.03369E+18,??,??NOTE
1.24152E+18,OPPO,R831S
1.71161E+17,??,Galaxy Grand
3.06151E+18,??,MI 2S
1.86768E+18,??,??4
-2.46742E+18,vivo,Y27
1.8455E+17,??,MI 2S
1.34457E+18,??,Galaxy S4
5.91387E+18,??,??4C
-4.51095E+18,??,Galaxy Note 3
3.85643E+18,??,??3C
2.93427E+18,??,??note
2.99945E+18,vivo,X3L
1.74999E+18,????,N1
-7.75555E+18,??,????1 Pro
5.81225E+18,??,Galaxy Note
-2.49671E+18,?? ,U960E
-2.82841E+18,??,??note
3.46865E+18,??,Galaxy A7
-6.31174E+18,LG,Nexus 5
6.84946E+18,??,Galaxy Grand 2
-6.83592E+18,?? ,Grand X
2.5188E+18,vivo,Xperia arc S
-6.93749E+18,??,MX4
-7.38373E+18,???,T708
-8.36354E+18,??,MI 4
8.26971E+18,OPPO,N1 Mini
4.60671E+18,??,X
-2.01951E+18,??,G610T
-3.12889E+18,vivo,Y29L
6.57159E+18,??,Galaxy S6 Edge+
7.83454E+18,??,MI 2S
-5.92548E+18,??,Galaxy S6
-7.57506E+18,??,Galaxy S3
-4.6616E+18,??,F2
9.12368E+18,??,Galaxy Mega 5.8
-5.03017E+14,??,Galaxy A7
5.72687E+18,??,T50
-6.29149E+18,??,??2
4.49935E+18,??,MI 4
4.5818E+16,OPPO,R6007
-3.94055E+18,?? ,V5 Max
-7.46793E+18,??,MI 4
1.11599E+18,??,????5
-8.97719E+18,HTC,One M8
-2.78977E+18,??,GN128
5.44987E+18,vivo,X3T
-3.08423E+18,??,Galaxy Note 3 Lite
-2.98636E+18,??,MX3
-8.63724E+18,OPPO,A11
1.5434E+18,OPPO,N1 Mini
-4.53335E+18,??,Galaxy S6 Edge
2.16891E+18,OPPO,A31
-2.8627E+18,??,??4C
-7.58559E+18,??,Galaxy Note 3
6.85448E+18,??,Galaxy Note 3
-7.07572E+18,??,MX5
6.84972E+18,??,??Note2
6.82385E+18,??,??metal
-9.27265E+17,??,F2
-4.31936E+18,??,????1s
4.43663E+18,??,??note
-6.70881E+18,??,Mate 7
8.82777E+18,??,Galaxy S4
1.44383E+18,??,Galaxy Note 3
4.69632E+18,??,??note
-1.88441E+18,??,note???
5.07325E+17,??,??6
-2.09071E+18,??,??2
-4.18414E+18,??,Galaxy Note 2
-4.06633E+18,??,L700T
6.55583E+18,??,Galaxy Note 2
8.7013E+17,??,??note
-2.68157E+18,??,??2A
6.28748E+18,??,Galaxy A5
-5.88107E+18,??,??6
-6.61368E+18,??,Galaxy A7
1.97327E+18,??,??6 Plus
6.5217E+18,??,F103S
-8.06538E+18,??,5951
5.84163E+18,??,H1
-8.65795E+18,??,A820
3.04903E+18,??,??Note 2
-5.6045E+18,OPPO,R7s
-6.45566E+18,??,??Note2
2.66327E+18,??,Ascend P8
-1.41054E+16,??,G7200
7.20488E+18,??,??6
-2.02622E+18,OPPO,Find 7
5.37435E+18,OPPO,R831T
-1.49635E+18,??,Galaxy Mega 2
-8.11451E+18,??,??U8860
8.25929E+18,??,??
-9.22033E+18,??,??7i
6.2619E+18,??,Galaxy S4
-6.03238E+18,??,MX4 Pro
-5.25881E+17,??,MI 2
-3.05056E+18,??,LT01
-3.7693E+18,??,????1
-1.01606E+18,vivo,Y11
7.97271E+18,??,Galaxy Win
-3.52296E+18,??,??1S
1.65694E+18,??,Galaxy S6
-3.66724E+17,??,???
-7.03997E+18,OPPO,Find 5
1.6472E+18,??,2
4.5464E+18,??,G610S
-2.47678E+18,vivo,Y17T
-6.01896E+18,??,MI 3
6.37155E+18,??,????1s
7.91711E+18,??,Galaxy S5
8.43508E+18,??,????4C
-4.78256E+18,??,Galaxy S2
5.8062E+18,??,??2
8.04666E+18,??,Mate 7
-7.59941E+18,??,Y635
7.5127E+18,??,??????T1
3.5365E+18,??,One
7.86098E+18,vivo,X5V
-1.73312E+18,vivo,Xperia Neo
-7.70069E+18,??,MI 4
6.00874E+18,??,Galaxy Trend DUOS 2
2.20339E+18,??,MI 4
5.3689E+18,??,??X2
5.49525E+18,??,G7 Plus
-5.18792E+17,??,????4C
-2.31848E+18,vivo,Y13L
4.83345E+18,??,Galaxy Core Prime
9.22081E+18,??,????4C
-9.32922E+17,vivo,Y33
6.21325E+18,??,???
6.22162E+18,??,??6 Plus
-2.01714E+18,??,Ascend P8
-4.83338E+18,??,MX5
-2.78154E+18,vivo,Y27
-8.27555E+18,??,MI 2S
-4.09825E+18,??,??2
1.34832E+18,??,HT-I860
-1.16897E+18,OPPO,R3
-2.86282E+18,??,????1
5.74478E+18,??,note???
-4.89237E+18,vivo,X5SL
-8.51081E+18,??,8056
-2.62518E+18,??,????1 Pro
7.94916E+18,??,F2
-3.82969E+18,??,Galaxy J5
-1.96385E+18,??,????
8.93692E+18,??,Ascend P8
-6.93444E+18,OPPO,Find 7
7.16175E+18,OPPO,R7s
7.81645E+18,OPPO,R7s
-7.77788E+17,??,Galaxy A5
7.29013E+18,??,????1s
6.49697E+18,??,??4C
6.2113E+18,??,Galaxy Note 2
-8.52915E+18,??,Galaxy S6 Edge+
7.91438E+18,??,Galaxy Note 2
7.07712E+18,??,??6
-4.74106E+18,??,Galaxy Note 4
3.51587E+18,??,??note
-1.76427E+18,HTC,EVO 3D X515m
1.07853E+18,??,????4C
-5.36283E+18,??,S7
-5.51138E+18,vivo,X3L
5.71273E+18,vivo,X5Pro
-1.89628E+18,??,MI 4
7.83254E+18,??,??note???
-6.89047E+18,OPPO,Find 5
-7.02622E+18,??,??7
7.44447E+17,????,A1
-1.18672E+18,??,??? X1
7.08935E+18,??,Galaxy A3
4.18827E+18,??,??5
-6.38811E+18,??,??2
-1.07407E+18,??,??2
-6.01311E+17,??,Galaxy S4
3.52623E+18,??,MX5
-6.51084E+18,??,??HD
-4.4864E+17,OPPO,R7s
7.16931E+18,??,MX5
3.68094E+16,??,MI 3
2.04194E+18,OPPO,R831S
-6.59665E+18,??,????4X
9.07516E+18,??,??
7.24327E+18,??,MX5
8.41311E+18,??,MX2
-5.81614E+18,??,Galaxy S2 HD LTE E120S
6.33355E+18,OPPO,R7s
-1.04794E+18,??,??Note2
6.59507E+18,??,MX3
8.85626E+17,??,Galaxy S4
-4.9659E+17,??,??6
2.98904E+18,??,??metal
-4.72447E+18,??,Galaxy Note 3
5.4219E+18,??,L5Pro
6.86448E+18,??,????4C
-3.50809E+18,OPPO,R7
-7.7557E+17,??,??6
-3.58164E+18,??,ivvi ?i
-7.88828E+18,vivo,X5Pro
-5.1915E+18,??,G520-5000
-5.06247E+18,??,MI 3
-2.35746E+18,??,????4C???
7.1892E+17,????,A1
2.35625E+18,??,??3
-5.06681E+18,??,Galaxy S3
5.5873E+18,vivo,Y11
-1.31411E+18,??,??K3 Note
4.21649E+18,??,????4
-6.37584E+18,??,Galaxy Note 2
6.60509E+18,??,Galaxy S6 Edge+
-1.60008E+18,OPPO,A31
-5.90621E+18,??,??Note 2
2.15023E+18,OPPO,A31
1.73702E+18,??,??note
5.79131E+18,??,??Note2
-3.91588E+18,??,Galaxy Mega 5.8
3.78241E+18,??,Ascend G700
-1.99595E+18,??,??4C
-8.48194E+18,?? ,??2
8.61584E+18,OPPO,R7s
3.98394E+18,??,??NOTE
1.47378E+18,LG,Nexus 4
-7.84842E+18,??,MX3
-4.77067E+18,??,Galaxy Note 2
2.01387E+17,OPPO,R7s
-9.78772E+17,??,3
-8.18204E+17,OPPO,R827T
4.07814E+18,??,MI 3
