,Original,Converted
258,3,3
259,红米2,Red Rice 2
260,MI 2,MY 2
261,M601,M601
262,9976A,drought
263,A278t,Ohoudh
264,红辣椒任性版 Plus,Red pepper wayward Edition Plus
265,小鲜2,2 small fresh
266,T87+,Discerned +
267,大神F1,Okami F1
268,5263,5263
269,A375e,Oahkh
270,A785e,Ohoudkh
271,S9,Xia
272,8730L,8730L
273,H1,X1
274,醉享,Drunk enjoy
275,锋尚,Tiptop
276,G730-T00,G730-T00
277,GN705,Misdemeanors 05
278,One S,One S
279,R7s,R7s
280,大神Note3,Okami Note3
281,S6,Sat.
282,M811,M811
283,U51GT-W,U51GT-W
284,Galaxy Trend DUOS 2,DUOS Galaxy Trend 2
285,Y321C,Y321C
286,Galaxy Trend DUOS,Galaxy Trend DUOS
287,U86,U86
288,7620l,7620's
289,Z7 Max,Z7 Max
290,Y511-T00,Y511-T00
291,Mate 7,Mate 7
292,ELIFE E6 mini,Elife E6 mini
293,GN708W,GN708W
294,Y17W,Y17W
295,X3T,Ksah
296,U3,Acts
297,MX2,MX2
298,S2L,S2L
299,P6,P6
300,A355e,Oakh
301,Y928,Is measured
302,VIBE Z,VIBE Z
303,M812C,M812C
304,大神F2全高清版,Great God F2 Full HD
305,EG970,Ajsah 0
306,N821,N821
307,D350,D350
308,Galaxy Note 3,Galaxy Note 3
309,7295A青春版,7295A youth version
310,A800,A800
311,X1 7.0,X1 7.0
312,P331M,Baa 1 p.m.
313,5951,5951
314,GN700W,GN700W
315,Y320T,Aae 0 T
316,5891Q,5891Q
317,红辣椒,Red chilli
318,HS-U978,Hsoshoud
319,A850+,A850+
320,小辣椒 4,Peppers 4
321,UIMI3,Dilutes
322,Galaxy Win Pro,Galaxy Win Pro
323,M4,martyr
324,S6T,S6T
325,小辣椒S1,Peppers S1
326,X6 Plus,X6 Plus
327,X1ST,1cm
328,S899t,Sagsh
329,G3818,Jed 18
330,S5.1,S5.1
331,A805e,A805e
332,T20L,T20L
333,V5 Max,V5 Max
334,红米1S,Red rice 1S
335,8122,8122
336,U707T,And h 07 t
337,Y17T,J 17 t
338,V6,AT 6
339,Xperia SP,Xperia SP
340,Galaxy Trend 3,Galaxy Trend 3
341,A318t,Sector 18 T
342,Optimus LTE,Optimus LTE
343,A766,Basest
344,Y516,Y516
345,R817,RIP 17
346,A53,Kha
347,X5Max+,X5Max+
348,金钢,James Bond
349,Galaxy Ace 3,Galaxy Ace 3
350,Galaxy E7,Galaxy E7
351,6607,6607
352,Y13T,J 13 T.
353,红辣椒Note,Red Hot Chili Peppers Note
354,5891,5891
355,R1C,R1C
356,G4,Gch
357,Nexus 4,Nexus 4
358,Xperia Z Ultra,Xperia Z Ultra
359,R811,R811
360,Galaxy S3 Mini,Galaxy S3 Mini
361,U950,U950
362,Desire 820,Desire 820
363,G6-C00,G6-C00
364,N1T,N1T
365,Galaxy Mega Plus,Galaxy Mega Plus
366,7295,7295
367,Q302C,Qa Q 02
368,VT898,VT898
369,A630t,A630t
370,R809T,RIP 09 v
371,L7,Bethlehem
372,Touch 3,Touch 3
373,Z9 mini,Z9 mini
374,F103,P 103
375,X1,X1
376,R813T,RIP 13 T.
377,U960S3,Down 0 Sa
378,L1,L1
379,MI 4S,MI 4S
380,魅蓝,Blue Charm
381,GN9002,GN9002
382,R5,R5
383,7295C,Hakqkhk
384,C8813,Sdd 13
385,8702,8702
386,X3S,X3S
387,U701,U701
388,iPh-800,iPh-800
389,L22,Loyalty
390,T8830Pro,T8830Pro
391,Xperia Z1,Xperia Z1
392,炫影S+,Hyun shadow S +
393,8295M,Dhaqkhm
394,荣耀3C,3C glory
395,G3588V,G3588V
396,ELIFE E3T,Thousands Give
397,A889,I cut
398,V5S,V5S
399,T80,T80
400,小米note,Millet note
401,X5SL,X5SL
402,C8816,Number 8816
403,小米4C,Millet 4C
404,A3800d,00 members d
405,Y511-U00,Y511-U00
406,黄金斗士A8,Gold fighter A8
407,F105,F105
408,X5Max,X5Max
409,Y330,Aaa 0
410,metal 标准版,metal Standard Edition
411,V183,P 183
412,A238t,I bite
413,MI 1S,MI 1S
414,MI 2S,MI 2S
415,One E8,One E8
416,M8,M8
417,Galaxy Core Prime,Galaxy Core Prime
418,S850t,S850t
419,T7,: 7
420,荣耀7,Glory 7
421,My 布拉格,My Prague
422,荣耀3X畅玩版,Glory 3X Play Edition
423,Galaxy Style DUOS,Galaxy Style DUOS
424,MX4,MX4
425,Vibe Shot,Vibe Shot
426,Galaxy Tab S T805C,Galaxy Tab S T805C
427,Y27,With satisfaction
428,8729,8729
429,Galaxy Note,Galaxy Note
430,N1 max,N1 max
431,Y13L,J 13 for
432,Mate 8,Mate 8
433,P301M,P301M
434,乐玩,Play music
435,7231,7231
436,Y11,Y11
437,A860e,Ath60e
438,P8 Lite,P8 Lite
439,G520-5000,G520-5000
440,5316,5316
441,联想黄金斗士S8,Lenovo gold fighter S8
442,T9608,08 Tst
443,Z5S,Z5S
444,M100,M100
445,MI One Plus,MI One Plus
446,MI 2C,2C MI
447,Y23L,Aaal
448,Galaxy A7,Galaxy A7
449,S850,S850
450,Q701C,Q701C
451,Butterfly s,Butterfly s
452,Galaxy S5,Galaxy S5
453,L1 mini,L1 mini
454,荣耀畅玩4,Glory Play 4
455,S720i,She 0 j
456,Galaxy S3,Galaxy S3
457,R7,Rah
458,么么哒,muah
459,Z5S Mini,Mini Z5S
460,么么哒3N,Meme da 3N
461,Ascend P8,Ascend P8
462,Xperia C,Xperia C
463,Xperia Z3,Xperia Z3
464,荣耀6 plus,Glory 6 plus
465,P1,P1
466,Galaxy Note 8.0,Galaxy Note 8.0
467,X710L,X710L
468,S890,S890
469,E7,E7
470,Galaxy Mega 5.8,Galaxy Mega 5.8
471,C8816D,Sep. 8816 The
472,U879,Qahs
473,Xperia S,Xperia S
474,R831T,Baby 1 T
475,R8205,R8205
476,Y20T,Y20T
477,麦芒3S,3S-to-head
478,A360t,Give t 0
479,R833T,Breastfed
480,X6,X6
481,S12,S12
482,Xperia U,Xperia U
483,Galaxy A5,Galaxy A5
484,M310,With 10
485,S720,She 0
486,Desire 626,Desire 626
487,One X,One X
488,GN708T,Misdemeanors 08 v
489,MediaPad M2-803L,MediaPad M2-803L
490,N1W,N1W
491,大神F1Plus,Okami F1Plus
492,A628t,A628t
493,7296,7296
494,Galaxy S3 Neo+,Galaxy S3 Neo +
495,Xperia Z,Xperia Z
496,U956,U956
497,Galaxy Ace,Galaxy Ace
498,A199,A 199
499,G615-U10,G615-U10
500,Xperia C3,Xperia C3
501,7251,7251
502,C986t,He C986
503,Mate,Mate
504,荣耀7i,Glory 7i
505,荣耀X2,X2 glory
506,802w,802w
507,7260,7260
508,G716,G716
509,H3,Ha
510,A560,0 notify
511,A820t,A820t
512,春雷HD,Spring Thunder HD
513,S11T,S11T
514,Galaxy Nexus,Galaxy Nexus
515,Optimus G Pro,Optimus G Pro
516,S5000,S5000
517,Xshot,Xshot
518,P880,P880
519,V70,B70
520,荣耀6,Glory 6
521,U807,U807
522,note顶配版,note top version
523,E3,Eze
524,倾城L3,Allure L3
525,红米Note2,Red rice Note2
526,荣耀U8860,Glory U8860
527,VT888,VT888
528,Y13,J 13
529,Ascend GX1,Ascend GX1
530,Galaxy Note 4,Galaxy Note 4
531,黄金斗士Note8,Gold fighter Note8
532,Galaxy Tab 3 10.1,Galaxy Tab 3 10.1
533,Galaxy Ace Dear,Galaxy Ace Dear
534,A670t,A670t
535,G3819D,Jed 19 d
536,G730-C00,G730-C00
537,小鲜3,3 small fresh
538,A798t,Achieved
539,R827T,Rdahh
540,S820,S820
541,ivvi 小i,ivvi small i
542,5216D,5216D
543,Galaxy Note 3 Lite,Galaxy Note 3 Lite
544,A788t,Received 788 of
545,畅享5S,Enjoy 5S
546,5219,5219
547,GN5001S,GN5001S
548,荣耀3C畅玩版,Glory 3C Play Edition
549,纽扣,Button
550,Ascend G700,Ascend G700
551,Desire 816x,Desire 816x
552,超级手机1,Super phone 1
553,Ascend P7,Ascend P7
554,红米Note3,Red rice Note3
555,Y927,Yelled
556,1107,1107
557,F2,F2
558,V185,V185
559,荣耀6 Plus,Glory 6 Plus
560,X68T,X68T
561,Galaxy S4,Galaxy S4
562,Galaxy S2 HD LTE E120S,S2 HD LTE E120S Galaxy
563,Y635-TL00,Y635-TL00
564,C8650,C8650
565,荣耀畅玩4C,Play 4C glory
566,G7 Plus,G7 Plus
567,R815T,R815T
568,Y33,Aa
569,Ascend G7,Ascend G7
570,Mate S,Mate S
571,Xperia T,Xperia T
572,Y500,Y500
573,X6 Plus D,More X6 D
574,红米2A,Red rice 2A
575,N1,N1
576,One M8,One M8
577,魅蓝Note 2,Blue Charm Note 2
578,P520L,P520L
579,Y18L,Y18L
580,8017-T00,8017-t00
581,时尚手机,Fashion phones
582,A51,A51
583,Galaxy S6 Edge,Galaxy S6 Edge
584,MT2-C00,MT2-C00
585,A399,Aas
586,W999,Stories
587,7269,7269
588,X3V,X3V
589,A1,A1
590,Galaxy Note Edge,Galaxy Note Edge
591,G3609,Jatt 09
592,Y29L,Ayasl
593,Galaxy Tab 3 8.0,Galaxy Tab 3 8.0
594,8713,8713
595,M20-T,M20-T
596,A678t,A678t
597,G520-0000,G520-0000
598,G510,G510
599,P8max,P8max
600,Galaxy Core Max,Galaxy Core Max
601,9180,9180
602,Desire 826,Desire 826
603,MI One C1,MI One C1
604,R1,R1
605,X805,X805
606,8722,8722
607,GN180,GN180
608,Xperia T2 Ultra,Xperia T2 Ultra
609,HT-I860,HT-I860
610,N2,Na
611,麦芒4,4-head
612,荣耀畅玩5,Glory Play 5
613,V889D,V889D
614,U701T,U701T
615,Grand S 2,Grand S 2
616,Xperia SL,Xperia SL
617,N3,Prevent
618,MI 5,MI 5
619,GN152,GN152
620,Galaxy S2,Galaxy S2
621,ZenFone 5,ZenFone 5
622,Sensation XE with Beats Audio Z715e,Sensation XE with Beats Audio Z715e
623,锋尚2,Tiptop 2
624,F303,Effective 03
625,A708t,Ahh 08 t
626,G730-U00,G730-U00
627,R7 Plus,R7 More
628,坚果手机,Nuts phone
629,7268,7268
630,Galaxy J7,Galaxy J7
631,X6 D,X6 D
632,A300t,Sector 00 T
633,Galaxy Core 4G,Galaxy Core 4G
634,魅蓝metal,Charm blue metal
635,荣耀畅玩4C运动版,Glory Play 4C Sport
636,iSuper S2,iSuper S2
637,X1S,X1S
638,红米,Red rice
639,超级手机1s,Super phone 1s
640,B199,199
641,Galaxy Core Mini,Galaxy Core Mini
642,T9,Taq
643,A828t,A828t
644,MI 4,MI 4
645,S7I,healthy
646,Galaxy S6 Edge+,Galaxy S6 Edge+
647,锋尚Pro,Tiptop Pro
648,7270,7270
649,8190Q,8190Q
650,U818,Od 18
651,Galaxy Grand DUOS,Galaxy Grand DUOS
652,Desire 7088,Desire 7088
653,SM-T2556,SM-T2556
654,GN139,Jen 139
655,Galaxy Ace Plus,Galaxy Ace Plus
656,A680,A680
657,PRO5,Pro5
658,Desire 610t,Desire 610t
659,Galaxy S Plus,Galaxy S Plus
660,P70,W 70
661,5872,5872
662,Galaxy Grand Prime,Galaxy Grand Prime
663,Xplay,Xplay
664,Y19T,Y19t
665,8190,8190
666,X8888,X8888
667,S898t,S898t
668,E8,E8
669,VIBE Z2,VIBE Z2
670,V967S,Vqtahs
671,U930HD,Situation HD 0
672,魅蓝NOTE,Charm Blue NOTE
673,V4,RF
674,MI 3,MI 3
675,旗舰版,Ultimate
